Vq,Vt,grad,startPriceEthPerB,startFdvUsd,slip005,slip05,slip5,roundTripCostPct,ethToGraduate,soldPctAtGrad,priceMultiple,fdvAtGradUsd,holderRewardsEthAtGrad,score
3.000000,73000000.000000,4.400000,2.795899,5021.435228,2.676768,17.676768,167.676768,1.990000,4.400000,63.925084,6.119587,30729.112197,0.017864,8.000000
3.000000,73000000.000000,6.000000,2.795899,5021.435228,2.676768,17.676768,167.676768,1.990000,6.000000,71.648606,9.058294,45485.637052,0.024360,8.000000
3.000000,200000000.000000,3.000000,2.500000,4490.000000,2.676768,17.676768,167.676768,1.990000,3.000000,60.095847,4.012810,18017.517978,0.012160,8.000000
3.000000,200000000.000000,4.400000,2.500000,4490.000000,2.676768,17.676768,167.676768,1.990000,4.400000,71.491240,6.119587,27476.947823,0.017864,8.000000
3.000000,200000000.000000,6.000000,2.500000,4490.000000,2.676768,17.676768,167.676768,1.990000,6.000000,80.128917,9.058294,40671.740464,0.024360,8.000000
3.000000,50000000.000000,4.400000,2.857143,5131.428571,2.676768,17.676768,167.676768,1.990000,4.400000,62.554835,6.119587,31402.226083,0.017864,8.000000
3.000000,50000000.000000,6.000000,2.857143,5131.428571,2.676768,17.676768,167.676768,1.990000,6.000000,70.112802,9.058294,46481.989102,0.024360,8.000000
3.000000,100000000.000000,3.000000,2.727273,4898.181818,2.676768,17.676768,167.676768,1.990000,3.000000,55.087859,4.012810,19655.474157,0.012160,8.000000
3.000000,100000000.000000,4.400000,2.727273,4898.181818,2.676768,17.676768,167.676768,1.990000,4.400000,65.533637,6.119587,29974.852170,0.017864,8.000000
3.000000,100000000.000000,6.000000,2.727273,4898.181818,2.676768,17.676768,167.676768,1.990000,6.000000,73.451507,9.058294,44369.171415,0.024360,8.000000
2.000000,50000000.000000,3.000000,1.904762,3420.952381,3.510101,26.010101,251.010101,1.990000,3.000000,63.080485,6.274023,21463.134057,0.012160,8.000000
2.000000,50000000.000000,4.400000,1.904762,3420.952381,3.510101,26.010101,251.010101,1.990000,4.400000,72.296546,10.308402,35264.551849,0.017864,8.000000
2.000000,100000000.000000,3.000000,1.818182,3265.454545,3.510101,26.010101,251.010101,1.990000,3.000000,66.084318,6.274023,20487.537054,0.012160,8.000000
2.000000,100000000.000000,4.400000,1.818182,3265.454545,3.510101,26.010101,251.010101,1.990000,4.400000,75.739238,10.308402,33661.617674,0.017864,8.000000
2.000000,200000000.000000,3.000000,1.666667,2993.333333,3.510101,26.010101,251.010101,1.990000,3.000000,72.091983,6.274023,18780.242300,0.012160,8.000000
2.000000,200000000.000000,4.400000,1.666667,2993.333333,3.510101,26.010101,251.010101,1.990000,4.400000,82.624624,10.308402,30856.482868,0.017864,8.000000
2.000000,73000000.000000,3.000000,1.863933,3347.623486,3.510101,26.010101,251.010101,1.990000,3.000000,64.462248,6.274023,21003.066878,0.012160,8.000000
2.000000,73000000.000000,4.400000,1.863933,3347.623486,3.510101,26.010101,251.010101,1.990000,4.400000,73.880184,10.308402,34508.648128,0.017864,8.000000
1.500000,50000000.000000,3.000000,1.428571,2565.714286,4.343434,34.343434,334.343434,1.990000,3.000000,70.074508,9.038441,23190.057092,0.012160,8.000000
1.500000,73000000.000000,3.000000,1.397950,2510.717614,4.343434,34.343434,334.343434,1.990000,3.000000,71.609473,9.038441,22692.972923,0.012160,8.000000
1.500000,100000000.000000,3.000000,1.363636,2449.090909,4.343434,34.343434,334.343434,1.990000,3.000000,73.411389,9.038441,22135.963587,0.012160,8.000000
1.500000,200000000.000000,3.000000,1.250000,2245.000000,4.343434,34.343434,334.343434,1.990000,3.000000,80.085152,9.038441,20291.299955,0.012160,8.000000
3.000000,73000000.000000,3.000000,2.795899,5021.435228,2.676768,17.676768,167.676768,1.990000,3.000000,53.735703,4.012810,20150.066704,0.012160,5.000000
3.000000,50000000.000000,3.000000,2.857143,5131.428571,2.676768,17.676768,167.676768,1.990000,3.000000,52.583866,4.012810,20591.449117,0.012160,5.000000
2.000000,50000000.000000,6.000000,1.904762,3420.952381,3.510101,26.010101,251.010101,1.990000,6.000000,78.845138,16.116612,55134.161177,0.024360,5.000000
2.000000,100000000.000000,6.000000,1.818182,3265.454545,3.510101,26.010101,251.010101,1.990000,6.000000,82.599669,16.116612,52628.062941,0.024360,5.000000
2.000000,73000000.000000,6.000000,1.863933,3347.623486,3.510101,26.010101,251.010101,1.990000,6.000000,80.572222,16.116612,53952.347843,0.024360,5.000000
1.500000,50000000.000000,4.400000,1.428571,2565.714286,4.343434,34.343434,334.343434,1.990000,4.400000,78.401291,15.583230,39982.115710,0.017864,5.000000
